labID,midpoint depth (cm),thickness (cm),materialDated,age14C (14C years),14Cuncertainty,reservoir correction,reservoir correction uncertainty,calibration curve used ,notes
19-SUERC-22325,2.3,1.5,Living Drepanocladus longifoliusaquatic moss,104.53*,0.46*,0,0,sh13.postbomb_zone1-2,*pMC; 0-3 cm living aquatic moss layer
20-SUERC-18934,5.25,0.5,Drepanocladus longifoliusaquatic moss,907,37,0,0,sh13.cal,0-10 cm: Pb-210 dating unsuccessful
21-BETA-316286,9.8,0.5,Drepanocladus longifoliusaquatic moss,1430,30,0,0,sh13.cal,0-10 cm: Pb-210 dating unsuccessful
22-BETA-271289,14.5,1,Bulk organic sediment (lake),2540,40,0,0,sh13.cal,
23-BETA-316287,20.25,0.5,Drepanocladus longifoliusaquatic moss,3370,30,0,0,sh13.cal,
24-BETA-271290,24.5,1,Bulk organic sediment (lake),3790,40,0,0,sh13.cal,
25-BETA-316288,31.3,0.5,Campylium polygamum moss layer,4170,30,0,0,sh13.cal,
26-SUERC-18935,32.3,0.5,Campylium polygamum moss layer,4273,37,0,0,sh13.cal,
27-SUERC-22310,190.8,0.5,Campylium polygamum? moss layer,4847,37,0,0,sh13.cal,
28-SUERC-22311,201.5,1,Campylium polygamum? moss strands,5051,38,0,0,sh13.cal,
29-SUERC-22326,247.5,1,Bulk organic sediment (marine-influenced),7326,37,700,50,marine13.cal,delta R (DR) value; total Marine Reservoir Effect (MRE) = 1100±50
30-SUERC-22327,260.5,1,Bulk organic sediment (marine),7155,38,700,50,marine13.cal,DR value; total MRE = 1100±50
31-BETA-271291,300.5,1,Bulk organic sediment (marine),8500,70,700,50,marine13.cal,DR value; total MRE = 1100±50
32-BETA-271292,342.5,1,Mineral-rich sediment (marine),11570,70,700,50,marine13.cal,DR value; total MRE = 1100±50
33-BETA-271293,350.5,1,Mineral-rich sediment (marine),10630,70,700,50,marine13.cal,DR value; total MRE = 1100±50
,,,,,,,,,
Reference: ,,,,,,,,,
"Roberts, Stephen J.; Monien, Patrick; Foster, Louise C.; Loftfield, Julia; Hocking, Emma P.; Schnetger, Bernhard; Pearson, Emma J.; Juggins, Steve; Fretwell, Peter ; Ireland, Louise; Ochyra, Ryszard; Haworth, Anna R.; Allen, Claire S. ; Moreton, Steven G.; Davies, Sarah J.; Brumsack, Hans-JŸrgen; Bentley, Michael J.; Hodgson, Dominic A. 2017 Past penguin colony responses to explosive volcanism on the Antarctic Peninsula. Nature Communications, 8, 14914. 16, pp. https://doi.org/10.1038/ncomms14914",,,,,,,,,
pMC = percent modern carbon,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
