FAN LAKE,,"SH13 age model (Strother et al., 2015)",,,,,"SH20 (Roberts et al., in prep.)",,,,,,,,,Pearson et al (2016) ,,,Foster et al (2016) ,,
Sample ID,Strat. Depth (cm),95% conf. lower age (cal yr BP),95% conf upper age (cal yr BP),median age (cal yr BP),"Weighted mean age (cal yr BP) (2019 minor revision cf. Strother et al., 2015) ",Weighted mean age (Year CE),95% conf. lower age (cal yr BP),95% conf upper age (cal yr BP),median age (cal yr BP),Weighted mean age (cal yr BP) (Sh20 major revision cf. Strother et al. 2015) ,Weighted mean age (Year CE),Br Ib (1020),Br II   (1036),Br IIIb (1048),Br III (1050),Global-GDGT Calibrated Temp (°C) (n= 81),Upper err limit (°C) [+2.00 °C RMSE],Lower err limit (°C) [-2.00 °C RMSE],Antarctic-GDGT Calibrated Temp (°C) (n = 36),Upper err limit (°C) [+1.45 °C RMSE],Lower err limit (°C)   [-1.45 °C RMSE]
FL0.5 (EP - 12\23),0.5,-52,-51,-52,-52,2002,0.5,-51.61,-50.79,-51.1,2001.1,0.006,0.361,0.006,0.517,6.56,8.56,10.56,2.24,3.69,0.79
FL4,4,-45,-43,-44,-44,1994,4,-21.22,-16.42,-17.77,1967.77,0.00512,0.29509,0.008,0.57126,6.15,8.15,4.15,3.52,4.97,2.07
FL5,5,-26,-21,-24,-24,1974,5,-12.56,-6.55,-8.25,1958.25,0.00665,0.28252,0.00835,0.57563,6.36,8.36,4.36,4.01,5.46,2.56
13\F1,5.5,-19,-13,-16,-16,1967,5.5,-8.22,-1.62,-3.49,1953.49,0.00636,0.27894,0.00685,0.60393,5.8,7.8,3.8,2.97,4.42,1.52
FL6,6,-8,1,-4,-4,1954,6,-3.88,3.31,1.27,1948.73,0.00637,0.32965,0.00948,0.47882,7.75,9.75,5.75,5.09,6.54,3.64
FL7,7,1,18,8,9,1942,7,4.79,13.18,10.79,1939.21,0.00461,0.33127,0.00889,0.49342,7.26,9.26,5.26,4.4,5.85,2.95
FL8,8,9,35,20,21,1930,8,13.5,23.05,20.32,1929.68,0.00511,0.28093,0.00456,0.59042,5.93,7.93,3.93,2.24,3.69,0.79
FL9,9,17,52,32,33,1917,9,22.18,32.93,29.84,1920.16,0.007,0.30499,0.00911,0.53721,6.91,8.91,4.91,4.49,5.94,3.04
FL10,10,25,69,44,45,1905,10,30.84,42.78,39.37,1910.63,0.00428,0.28451,0.00689,0.58977,5.82,7.82,3.82,2.95,4.4,1.5
FL11,11,34,105,61,64,1887,11,39.23,85.14,60.03,1889.97,0.00481,0.27347,0.00484,0.60262,5.74,7.74,3.74,2.27,3.72,0.82
FL12,12,37,152,75,81,1869,12,42.26,130.23,81.78,1868.22,0.00467,0.29007,0.0052,0.57521,6.09,8.09,4.09,2.5,3.95,1.05
13\F2,12.5,38,175,82,90,1860,12.5,43.87,153.16,92.83,1857.17,0.00523,0.2833,0.00526,0.59224,5.87,7.87,3.87,2.41,3.86,0.96
FL13,13,40,200,89,99,1852,13,44.6,176.15,103.45,1846.55,0.00631,0.29044,0.00849,0.56588,6.43,8.43,4.43,4.02,5.47,2.57
FL14,14,41,250,104,117,1834,14,46.26,221.31,125.38,1824.62,0.00498,0.28839,0.00534,0.57263,6.19,8.19,4.19,2.67,4.12,1.22
FL15,15,42,300,118,135,1816,15,48.04,266.71,147.46,1802.54,0.00496,0.315,0.00797,0.51055,7.14,9.14,5.14,4.17,5.62,2.72
FL16,16,54,317,135,151,1799,16,50.3,312.45,169.04,1780.96,0.00539,0.30687,0.00709,0.54272,6.62,8.62,4.62,3.46,4.91,2.01
