labID,midpoint depth (cm),thickness (cm),materialDated,age14C (14C years),14Cuncertainty,reservoir correction,reservoir correction uncertainty,calibration curve used ,notes
1-SUERC-20912,0.5,0.5,Syntrichia robusta moss,781,37,0,0,sh13.cal,Southern Hemisphere 2013 C14 calibration
2-SUERC-20913,4.25,0.5,Bulk Organic mud,1357,35,0,0,sh13.cal,
3-SUERC-20916,4.8,0.5,Syntrichia saxicola moss stems/leaves,128.68*,0.59*,,0,sh13.postbomb_zone1-2,*=pMC (percent modern carbon)
4-SUERC-12578,5.0,1,Bulk Organic mud,692,35,0,0,sh13.cal,
5-SUERC-20917,10.25,0.5,Bulk Organic mud,1101,37,0,0,sh13.cal,
6-BETA-326502,31,1,Bulk Organic mud,1220,30,0,0,sh13.cal,
7-SUERC-12585,44.0,1,Syntrichia saxicola moss stems/leaves,523,35,0,0,sh13.cal,
8-SUERC-12586,46.0,1,Syntrichia saxicola moss stems/leaves,793,35,0,0,sh13.cal,
9-SUERC-12587,59.0,1,Syntrichia saxicola moss strands,1108,35,0,0,sh13.cal,
10-SUERC-12588,63.0,1,Syntrichia saxicola moss strands,809,35,0,0,sh13.cal,
11-SUERC-12589,73.0,1,Syntrichia saxicola moss strands,819,35,0,0,sh13.cal,
12-BETA-326504,83.0,1,Bulk Organic mud,1900,30,0,0,sh13.cal,
13-SUERC-12590,114.0,1,Tarsometasus of unknown species of small bird,1864,35,0,0,sh13.cal,
14-SUERC-12579,114.0,1,Bulk Organic mud,2118,35,0,0,sh13.cal,
15-BETA-326503,149.0,1,Bulk Organic mud,2480,30,0,0,sh13.cal,
16-SUERC-12593,191.0,1,Polytrichum juniperinum moss ,2504,35,0,0,sh13.cal,
17-SUERC-12595,257.7,1,Polytrichum juniperinum moss stems/leaves,3490,35,0,0,sh13.cal,
18-SUERC-12596,320.7,1,Syntrichia robusta moss stems/leaves,3627,35,0,0,sh13.cal,
19-SUERC-12598,334.2,1,Syntrichia robusta moss stem,3571,35,0,0,sh13.cal,
20-SUERC-12599,335.5,1,Syntrichia robusta moss stem,3536,35,0,0,sh13.cal,
21-SUERC-12600,341.5,1,Syntrichia robusta moss,3489,35,0,0,sh13.cal,
22-SUERC-12594,360.0,1,Syntrichia robusta moss stems/leaves,3966,35,0,0,sh13.cal,
23-SUERC-12603,402.7,1,Syntrichia robusta moss stems/leaves,3543,35,0,0,sh13.cal,
24-SUERC-12604,417.5,1,Syntrichia robusta moss,3763,35,0,0,sh13.cal,
25-SUERC-12605,449.5,1,Syntrichia robusta moss,3521,35,0,0,sh13.cal,
26-SUERC-12606,459.0,1,Syntrichia robusta moss,3521,35,0,0,sh13.cal,
27-SUERC-12607,462.0,1,Syntrichia robusta moss,3731,35,0,0,sh13.cal,
28-SUERC-12608,466.9,1,Vittia pachyloma moss,3524,35,0,0,sh13.cal,
29-SUERC-12609,470.7,1,Syntrichia saxicola  ,3714,35,0,0,sh13.cal,
30-SUERC-12580,516.0,1,Bulk glacial sediment - silty clay,6346,35,0,0,sh13.cal,
31-SUERC-12583,544.0,1,Coarse light grey sandy/gravelly clay,5368,35,0,0,sh13.cal,
32-SUERC-12584,584.0,1,Coarse light grey sandy/gravelly clay,6953,37,0,0,sh13.cal,
,,,,,,,,,
,,,,,,,,,
Pb-210 data,midpoint depth (cm),thickness (cm),materialDated,CRS age (cal yr BP),1-sigma error,reservoir correction,reservoir correction uncertainty,calibration curve used ,notes
FAN SC0,0.5,1,Bulk sediment ,-49,1,0,0,-,
FAN SC1,1.5,1,Bulk sediment ,-38,1,0,0,-,
FAN SC2,2.5,1,Bulk sediment ,-28,2,0,0,-,
FAN SC3,3.5,1,Bulk sediment ,-20,2,0,0,-,
FAN SC4,4.5,1,Bulk sediment ,-10,3,0,0,-,
FAN SC5,5.5,1,Bulk sediment ,-4,3,0,0,-,
FAN SC6,6.5,1,Bulk sediment ,1,4,0,0,-,
FAN SC7,7.5,1,Bulk sediment ,10,5,0,0,-,
FAN SC8,8.5,1,Bulk sediment ,72,23,0,0,-,
FAN SC9,9.5,1,Bulk sediment ,>100,-,0,0,-,
,,,,,,,,,
References: ,,,,,,,,,
"Strother, Stephanie L.; Salzmann, Ulrich; Roberts, Stephen J.; Hodgson, Dominic A. ; Woodward, John; Van Nieuwenhuyze, Wim; Verleyen, Elie; Wyverman, Wim; Moreton, Steven G.. 2015 Changes in Holocene climate and the intensity of Southern Hemisphere Westerly Winds based on a high-resolution palynological record from sub-Antarctic South Georgia. The Holocene, 25 (2). 263-279. https://doi.org/10.1177/0959683614557576",,,,,,,,,
"Foster, Louise C.; Pearson, Emma J.; Juggins, Steve; Hodgson, Dominic A. ; Saunders, Krystyna M.; Verleyen, Elie; Roberts, Stephen J.. 2016 Development of a regional glycerol dialkyl glycerol tetraether (GDGT)-temperature calibration for Antarctic and sub-Antarctic lakes. Earth and Planetary Science Letters, 433. 370-379. https://doi.org/10.1016/j.epsl.2015.11.018",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
